"ID";"Öncelik";"Kanıt sınıfı";"Başlık";"Kaynak referansları";"Yapılacak iş";"Kabul koşulu";"Durum";"Sorumlu";"Hedef tarih"
"F01";"P1";"D — stok, maliyet ve izlenebilirlik.";"Sevkiyatta ürün ile lot eşleşmesi doğrulanmıyor";"server/routes/sales.js:225 | server/services/stock.js:272";"Ürün, lot, depo, durum, son kullanma politikası ve pozitif miktar kontrollerini ortak tüketim servisinde uygula. Route kontrolü ek savunma olsun. Hata halinde bütün sevkiyat işlemini geri al.";"Yanlış ürün lotu ve yanlış depo lotu 4xx; hiçbir lot/hareket/sipariş/önbellek değişmemeli. Doğru lotla başarılı sevkiyatta hareket ürünü ile lot ürünü eşit olmalı.";"Açık";"";""
"F02";"P1";"D.";"Sevkiyat silme stok ve sipariş etkisini geri almıyor";"server/routes/sales.js:279";"Fiziksel silmeyi muhasebeleşmiş stok hareketinde kaldır. Hazırlık/çıkış durumunu netleştir; kontrollü iptal belgesi, ters stok hareketi ve sipariş/COGS geri alma işlemini tek transaction içinde uygula. Faturaya bağlı veya teslim edilmiş kayıtta ayrı iade süreci kullan.";"İzin verilen iptal sonrası stok ilk değere, sipariş miktarı ve maliyetleri doğru değere dönmeli; önceki belge ve iptal bağlantısı görülebilmeli. İkinci iptal aynı etkiyi tekrar uygulamamalı.";"Açık";"";""
"F03";"P1";"D.";"İptal edilmiş sipariş sevk edilebiliyor; fazla sevk engellenmiyor";"server/routes/sales.js:204";"Sevkiyat satırlarını `salesOrderLineId` ile bağla; uygun durum geçişlerini, müşteri/depo ilişkilerini ve satır bazlı toleransı tanımla. Siparişte olmayan ürünü sessizce ekleme.";"İptal/faturalanmış kapalı durumlarda politika dışı sevkiyat reddi; kalan miktarı aşan satırda 409/422; yinelenen ürün satırlarında doğru satır güncellenmesi.";"Açık";"";""
"F04";"P1";"D.";"Mobil senkronizasyonda tekrar işlemesini önleyen kayıt yok";"server/routes/mobile.js:290 | public/js/mobile.js:82";"Kullanıcı/cihaz/kurulum kapsamında benzersiz işlem kimliği, payload hash ve kaydedilmiş yanıt tablosu oluştur. İş kaydı ile idempotency sonucu aynı transaction içinde saklansın. Aynı kimlik/farklı içerik reddedilsin. Doğrudan çevrimiçi işlemlerde sabit `direct` yerine gerçek benzersiz kimlik kullanılsın.";"Aynı istek 10 kez gelse tek hareket; cevap kaybı, yeniden başlatma ve eşzamanlı iki gönderimde tek etki.";"Açık";"";""
"F05";"P1";"D.";"Mobil sayım kapalı kaydı ve negatif miktarı kabul ediyor";"server/routes/mobile.js:332";"Mobil sayımı masaüstüyle aynı servise bağla. Satırın varlığı/üst sayım ilişkisi, açık durum, sonlu ve negatif olmayan miktar, sürüm kontrolü ve audit zorunlu olsun.";"Onaylanmış/iptal sayım değişmez; negatif/NaN/geçersiz satır reddedilir; var olmayan satıra başarı dönmez; yetkili kalite rolü açık sayım kaydedebilir.";"Açık";"";""
"F06";"P1";"D.";"Sayım onayı aradaki stok hareketlerini yok sayıyor";"server/routes/stock.js:257";"İki tasarımdan birini işletmeyle seç: sayım kapsamındaki hareketleri kilitlemek veya sayım kesim zamanı + hareket defteri üzerinden farkı uygulamak. Sadece `current + difference` değişikliği yapmadan fiziksel sayım zamanı ve transfer/split senaryolarını çöz.";"Sayım sırasında giriş, çıkış, transfer, lot bölünmesi ve ikinci sayım ile miktar korunmalı; uyuşmazlıkta kullanıcıya kontrollü conflict dönmeli.";"Açık";"";""
"F07";"P1";"D.";"Ek maliyet ekledikçe eski maliyetler yeniden dağıtılıyor";"server/routes/purchasing.js:584 | server/services/costing.js:9";"Masraf başına uygulanmış dağıtım kaydı ve benzersizlik; değişmez başlangıç maliyeti + toplam geçerli dağıtım veya yalnızca yeni farkı uygulayan model. Sonradan masraf düzeltmesi/iptali ve tüketilmiş pay için ayrı maliyet düzeltmesi tasarla.";"100+50 masraf sonucu 25; aynı iş tekrar çalışınca değişmez; toplam dağıtım 150; kısmi tüketim ve lot bölünmesinde değer mutabakatı.";"Açık";"";""
"F08";"P1";"D.";"Tedarikçiye iadede seçilen lot yerine başka lot tüketiliyor";"server/routes/purchasing.js:668";"İade tam seçilen lota uygulanmalı; reddedilmiş/karantina lotundan fiziksel çıkış ayrı izinli işlem olmalı. Tedarikçi/lot/alım ilişkisini doğrula. İade miktarı, stok çıkışı ve alım satırı düzeltmesi aynı transaction'da olmalı.";"Seçilen red lotu 10 → 7; diğer lotlar değişmez. Kısmi sessiz çıkış yok. Başka tedarikçinin lotu reddedilir.";"Açık";"";""
"F09";"P1 veya P2";"D+K.";"Süresi geçmiş lot sevk edilebiliyor";"server/services/stock.js:98 | server/routes/sales.js:225";"“Engelle / yetkili istisna / yalnızca uyar” politikası ürün veya tesis düzeyinde tanımlansın. Otomatik ve manuel lot seçimi aynı kontrolü kullansın.";"Dün/bugün/yarın tarih sınırları, boş tarih, kalite onaylı istisna ve üretim tüketimi ayrı sınansın; raporlama ve MRP kullanılabilirliği aynı politikayı izlesin.";"Açık";"";""
"F10";"P1";"D.";"Muayene sonucu ile stok serbest bırakma miktarı ayrışıyor";"server/routes/quality.js:161–215";"Kabul + red + bekleyen miktar lot miktarıyla tutarlı olsun. `accepted`, `rejected`, `conditional` anlamlarını servis düzeyinde tanımla; ölçüm planının zorunlu alanları ve uygunsuz sonucu varsa serbest bırakma politikası uygula.";"Çelişkili durum/miktar 422; 1 kabul/9 red durumunda yalnızca 1 kullanılabilir, 9 doğru lot bağlantısıyla red ve NCR altında kalmalı.";"Açık";"";""
